User device name = Pmgd Perales 1
Evt	Date	Time	Type	IA	IB	IC	3I0	VA	VB	VC	
001	25/04/15	14:12:23.763	SEQUENCE COORD.	0	0	0	0	0	0	0	
002	25/04/15	13:45:59.908	SEQUENCE COORD.	0	0	0	0	0	0	0	
003	25/04/15	13:36:39.404	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
004	25/04/15	13:36:18.552	MAN/EXT TRIP/LO	61	61	61	0	6	6	6	
005	25/04/15	13:36:18.552	CONTROL LOCKOUT	61	61	61	0	6	6	6	
006	25/04/15	12:59:30.378	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
007	25/04/15	12:58:53.685	no control alarm	0	0	0	0	6	5	5	
008	25/04/14	16:49:58.525	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
009	25/04/14	16:23:57.955	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
010	25/04/14	15:13:50.405	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
011	25/04/14	15:13:45.455	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
012	25/04/14	15:13:42.265	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
013	25/04/14	15:13:36.655	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
014	25/04/14	15:13:24.195	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
015	25/04/14	15:13:21.045	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
016	25/04/14	15:13:02.285	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
017	25/04/14	15:12:58.555	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
018	25/04/14	15:12:41.135	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
019	25/04/14	15:12:18.265	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
020	25/04/14	15:12:11.405	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
021	25/04/14	15:11:44.905	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
022	25/04/14	15:11:32.035	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
023	25/04/14	10:39:49.945	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
024	25/04/14	10:39:41.325	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
025	25/04/14	00:15:42.935	MANUAL/EXT CLOSE	0	0	0	0	6	5	6	
026	25/04/13	23:19:18.085	MANUAL/EXT CLOSE	0	0	0	0	6	5	6	
027	25/04/13	23:11:51.165	MANUAL/EXT CLOSE	0	0	0	0	6	5	6	
028	25/04/13	23:10:10.765	MANUAL/EXT CLOSE	0	0	0	0	6	5	6	
029	25/04/13	23:09:42.795	MANUAL/EXT CLOSE	0	0	0	0	6	5	6	
030	25/04/13	23:09:35.723	CLOSE FAILURE	0	0	0	0	6	5	6	
031	25/04/13	23:09:35.723	CONTROL LOCKOUT	0	0	0	0	6	5	6	
032	25/04/13	23:09:30.730	MANUAL/EXT CLOSE	0	0	0	0	6	5	6	
033	25/04/13	17:03:00.062	MAN/EXT TRIP/LO	23	23	23	0	6	5	6	
034	25/04/13	17:03:00.062	CONTROL LOCKOUT	23	23	23	0	6	5	6	
035	25/04/13	17:03:00.050	USER SOE #6 ON	23	22	23	0	6	5	6	
036	25/04/07	01:00:22.224	MANUAL/EXT CLOSE	0	0	0	0	6	5	6	
037	25/04/07	00:59:02.142	MAN/EXT TRIP/LO	0	0	0	0	6	5	6	
038	25/04/07	00:59:02.142	CONTROL LOCKOUT	0	0	0	0	6	5	6	
039	25/03/30	00:49:03.405	MANUAL/EXT CLOSE	0	0	0	0	5	5	6	
040	25/03/30	00:46:49.290	MAN/EXT TRIP/LO	0	0	0	0	5	5	6	
041	25/03/30	00:46:49.290	CONTROL LOCKOUT	0	0	0	0	5	5	6	
042	25/02/28	22:35:44.130	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
043	25/02/28	22:33:39.175	MAN/EXT TRIP/LO	0	0	0	0	5	5	5	
044	25/02/28	22:33:39.175	CONTROL LOCKOUT	0	0	0	0	5	5	5	
045	25/02/26	00:00:02.819	CONTROL ALARMS	0	0	0	0	5	5	6	
046	25/02/25	22:35:18.392	MANUAL/EXT CLOSE	0	0	0	0	5	5	6	
047	25/02/25	21:44:59.550	CONTROL LOCKOUT	0	0	0	0	5	5	5	
048	25/02/25	21:44:57.650	no control alarm	0	0	0	0	5	5	5	
049	25/02/25	14:19:53.554	MAN/EXT TRIP/LO	61	61	63	0	5	5	5	
050	25/02/25	14:19:53.554	CONTROL LOCKOUT	61	61	63	0	5	5	5	
051	25/02/25	14:19:53.543	USER SOE #6 ON	62	61	62	0	5	5	5	
052	25/02/06	00:00:03.382	CONTROL ALARMS	0	0	0	0	6	5	6	
053	25/02/05	09:22:56.663	no control alarm	0	0	0	0	6	5	5	
054	25/01/07	11:32:01.040	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
055	25/01/07	09:03:09.793	MAN/EXT TRIP/LO	12	15	16	0	5	5	5	
056	25/01/07	09:03:09.793	CONTROL LOCKOUT	12	15	16	0	5	5	5	
057	25/01/07	09:03:09.782	USER SOE #6 ON	11	15	14	0	5	5	5	
058	24/12/22	00:00:01.989	CONTROL ALARMS	0	0	0	0	5	5	6	
059	24/12/21	20:45:04.693	no control alarm	0	0	0	0	6	5	6	
060	24/12/09	14:38:27.702	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
061	24/12/09	14:34:37.073	MAN/EXT TRIP/LO	55	51	57	1	5	5	5	
062	24/12/09	14:34:37.073	CONTROL LOCKOUT	55	51	57	1	5	5	5	
063	24/12/09	14:34:37.062	USER SOE #6 ON	59	54	63	0	5	5	5	
064	24/11/25	12:30:24.823	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
065	24/11/25	09:46:41.298	MAN/EXT TRIP/LO	0	0	0	0	6	5	5	
066	24/11/25	09:46:41.298	CONTROL LOCKOUT	0	0	0	0	6	5	5	
067	24/11/25	00:00:02.622	CONTROL ALARMS	0	0	0	0	5	5	6	
068	24/11/24	19:34:40.389	MANUAL/EXT CLOSE	0	0	0	0	5	5	6	
069	24/11/24	18:41:39.548	CONTROL LOCKOUT	0	0	0	0	5	5	5	
070	24/11/24	18:41:37.648	no control alarm	0	0	0	0	5	5	5	
071	24/11/24	15:16:57.535	MAN/EXT TRIP/LO	15	12	10	0	6	7	6	
072	24/11/24	15:16:57.535	CONTROL LOCKOUT	15	12	10	0	6	7	6	
073	24/11/24	15:16:57.524	USER SOE #6 ON	22	27	27	0	6	6	6	
074	24/11/13	00:00:02.132	CONTROL ALARMS	0	0	0	0	5	5	5	
075	24/11/12	20:35:50.052	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
076	24/11/12	19:30:27.552	CONTROL LOCKOUT	0	0	0	0	5	5	5	
077	24/11/12	19:30:25.652	no control alarm	0	0	0	0	5	5	5	
078	24/11/12	12:24:05.600	MAN/EXT TRIP/LO	31	27	33	0	6	6	6	
079	24/11/12	12:24:05.600	CONTROL LOCKOUT	31	27	33	0	6	6	6	
080	24/11/12	12:24:05.589	USER SOE #6 ON	37	40	39	0	6	6	6	
081	24/11/10	01:57:08.449	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
082	24/11/10	01:55:25.374	MAN/EXT TRIP/LO	0	0	0	0	6	5	5	
083	24/11/10	01:55:25.374	CONTROL LOCKOUT	0	0	0	0	6	5	5	
084	24/11/07	00:00:03.289	CONTROL ALARMS	0	0	0	0	6	5	6	
085	24/11/06	10:50:58.678	no control alarm	0	0	0	0	6	5	6	
086	24/09/24	15:59:08.193	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
087	24/09/24	09:28:15.387	MAN/EXT TRIP/LO	0	0	0	0	5	5	5	
088	24/09/24	09:28:15.387	CONTROL LOCKOUT	0	0	0	0	5	5	5	
089	24/08/02	12:24:40.282	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
090	24/08/02	00:10:42.819	MAN/EXT TRIP/LO	0	0	0	0	6	6	6	
091	24/08/02	00:10:42.819	CONTROL LOCKOUT	0	0	0	0	6	6	6	
092	24/08/02	00:10:42.809	USER SOE #6 ON	0	0	0	0	6	6	6	
093	24/06/17	18:06:11.029	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
094	24/06/17	18:04:29.858	MAN/EXT TRIP/LO	0	0	0	0	5	5	5	
095	24/06/17	18:04:29.858	CONTROL LOCKOUT	0	0	0	0	5	5	5	
096	24/06/14	13:27:21.327	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
097	24/06/14	03:04:42.332	MAN/EXT TRIP/LO	0	0	0	0	5	5	5	
098	24/06/14	03:04:42.332	CONTROL LOCKOUT	0	0	0	0	5	5	5	
099	24/06/14	03:04:42.322	USER SOE #6 ON	0	0	0	0	5	5	4	
100	24/05/22	11:58:30.900	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
101	24/05/22	11:56:43.272	MAN/EXT TRIP/LO	2	2	2	0	5	5	5	
102	24/05/22	11:56:43.272	CONTROL LOCKOUT	2	2	2	0	5	5	5	
103	24/04/19	18:17:34.656	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
104	24/04/19	17:17:52.487	MAN/EXT TRIP/LO	9	9	8	0	5	5	5	
105	24/04/19	17:17:52.487	CONTROL LOCKOUT	9	9	8	0	5	5	5	
106	24/04/19	17:17:52.476	USER SOE #6 ON	7	9	10	0	5	5	6	
107	24/04/16	14:47:27.292	MANUAL/EXT CLOSE	0	0	0	0	6	5	5	
108	24/04/16	11:35:35.404	MAN/EXT TRIP/LO	50	49	50	0	6	6	5	
109	24/04/16	11:35:35.404	CONTROL LOCKOUT	50	49	50	0	6	6	5	
110	24/03/20	17:54:27.619	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
111	24/03/20	17:46:24.035	MAN/EXT TRIP/LO	7	7	7	0	5	5	5	
112	24/03/20	17:46:24.035	CONTROL LOCKOUT	7	7	7	0	5	5	5	
113	24/03/20	17:46:24.024	USER SOE #6 ON	7	7	6	0	5	5	5	
114	24/03/05	00:00:02.489	CONTROL ALARMS	0	0	0	0	5	5	6	
115	24/03/04	20:13:57.659	no control alarm	0	0	0	0	5	5	5	
116	24/03/03	00:00:01.833	CONTROL ALARMS	0	0	0	0	6	5	5	
117	24/03/02	11:03:00.668	no control alarm	0	0	0	0	5	5	6	
118	24/02/16	00:00:02.900	CONTROL ALARMS	0	0	0	0	6	5	6	
119	24/02/15	22:26:31.670	no control alarm	0	0	0	0	6	5	6	
120	24/02/11	00:15:10.603	MANUAL/EXT CLOSE	0	0	0	0	5	5	5	
121	24/02/10	23:50:12.769	MAN/EXT TRIP/LO	0	0	0	0	6	5	5	
122	24/02/10	23:50:12.769	CONTROL LOCKOUT	0	0	0	0	6	5	5	
123	24/02/04	13:16:31.963	MANUAL/EXT CLOSE	0	0	0	0	5	5	6	
124	24/02/04	00:00:02.820	CONTROL ALARMS	0	0	0	0	5	5	6	
125	24/02/03	21:18:17.548	CONTROL LOCKOUT	0	0	0	0	5	5	6	
126	24/02/03	21:18:15.648	no control alarm	0	0	0	0	5	5	6	
127	24/02/03	14:56:17.655	CONTROL ALARMS	0	0	0	0	0	0	0	
128	24/02/03	13:43:00.884	MAN/EXT TRIP/LO	55	55	55	0	6	6	6	
129	24/02/03	13:43:00.884	CONTROL LOCKOUT	55	55	55	0	6	6	6	
