Name_of_LF,Name_of_SG,Type, Voltage [kV], Pset [MW],Qset [MVar],
LF4,TER_DONA_LUZMA_OG,PV,15,0,480,
LF4,HP_TRUPAN_OG,PV,15,0,480,
LF4,HP_DOS_VALLES_AMP_OG,PV,15,0,480,
LF4,HP_LOS_CONDORES_OG,PV,15,0,480,
LF4,HP_NUBLE_OG,PV,15,0,480,
LF4,HP_LOS_LAGOS_OG,PV,15,0,480,
LF4,CCSS_ILLAPA_ALUPAR,PV,15,0,480,
LF4,SM3,PV,15,0,480,
LF4,CCSS_AMARIA_ALUPAR,PV,15,0,480,
LF4,CCSS_AMARIA_TRANSELEC,PV,15,0,480,
LF4,CCSS_LIKANANTAI_TRANSELEC,PV,15,0,480,
LF_NVENTA,Nueva_Ventanas,PV,18.18,5,480,
LF_CAMPI,Campiche,PV,18,5,480,
LF_VENTA_U1,Ventanas_U1,PV,13.524,5,480,
LF_VENTA_U2,Ventanas_U2,PV,18,5,480,
LF_CARDO_U1,Cardones_U1,PQ,15.75,5,0,
LF_TALT_U1,Taltal_U1,PV,15,5,480,
LF_TALT_U2,Taltal_U2,PV,15,5,480,
LF_SISIDRO_U1_TV,San_Isidro_U1_TV,PV,15,5,480,
LF_RAPEL_U1,Rapel_U1,PV,13.261800000000001,5,480,
LF_RAPEL_U2,Rapel_U2,PV,13.261800000000001,5,480,
LF_RAPEL_U3,Rapel_U3,PV,13.140400000000001,5,480,
LF_RAPEL_U4,Rapel_U4,PV,14.326,5,480,
LF_RAPEL_U5,Rapel_U5,PV,14.326,5,480,
LF_SISIDRO_U1_TG,San_Isidro_U1_TG,PV,13.8,5,480,
LF_SISIDRO_U1_TV,San_Isidro_U1_TV,PV,15.15,64,480,
LF_SISIDRO_U2_TV,San_Isidro_U2_TV,PV,13.2,5,480,
LF_SISIDRO_U2_TG,San_Isidro_U2_TG,PV,15,5,480,
LF_GUACOLDA_U1_R,GUACOLDA_U1,PV,13.261800000000001,5,480,
LF_GUADOLDA_U2,GUADOLDA_U2,PV,13.8,5,-3,
LF_GUACOLDA_U3,GUACOLDA_U3,PV,12.7,5,-3,
LF_GUACOLDA_U4,GUACOLDA_U4,PV,13.95,5,480,
LF_GUACOLDA_U5,GUACOLDA_U5,PV,13.8,5,480,
LF_QUINT_TG1A,Quintero_TG1A,PV,15,5,480,
LF_QUINT_TG1B,Quintero_TG1B,PV,15.1,5,480,
LF_NEHU_U1_TV,Nehuenco_U1_TV,PV,10.8962,5,480,
LF_NEHU_U1_TG,Nehuenco_U1_TG,PV,15.8,5,480,
LF_NEHU_U2_TG,Nehuenco_U2_TG,PV,15.75,5,480,
LF_NEHU_U2_TV,Nehuenco_U2_TV,PV,15.75,5,480,
LF_NEHU_U3,Nehuenco_U3,PV,10.5,5,480,
LF_HORNIT_U1,Hornitos_U1,PQ,11,5,-7.9,
LF_quilos,LosQuilos,PQ,6.6,5,-2.2,
LF_BLANCO,Blanco,PV,11.9,5,480,
LF_JUNCAL,Juncal,PV,11.8,5,480,
LF_GUACOLDA_U1,Guacolda_U1,PV,13.8,50,480,
LF_GUACOLDA_U2,Guacolda_U2,PV,13.8,5,480,
LF_GUACOLDA_U3,Guacolda_U3,PV,13.3,45,480,
LF_GUACOLDA_U4,Guacolda_U4,PV,14.0485,38,480,
LF_GUACOLDA_U5,Guacolda_U5,PV,14.0485,38,480,
LF_ALFAL_U1,Alfalfal_U1,PV,12.12,5,480,
LF_ALFAL_U2,Alfalfal_U2,PV,12.12,5,480,
LF_ALFAL_II_U1,Alfalfal_II_U1,PV,15.6,5,480,
LF_ALFAL_II_U2,Alfalfal_II_U2,PV,15.6,5,480,
LF_CCSS_ILLAPA,CCSS_ILLAPA,PV,17.57896,0,0,
LF_Tocopilla_U14,Tocopilla_U14,PV,13.524000000000001,5,0,
LF_Tocopilla_U15,Tocopilla_U15,PV,13.524000000000001,5,0,
LF_Tocopilla_U16,Tocopilla_U16,PV,20.58,5,0,
LF_TOCOPI_U12,Tocopilla_U12,PV,13.524000000000001,5,0,
LF_TOCOPI_U13,Tocopilla_U13,PV,13.524000000000001,5,0,
LF_CCH_U1,CCH_U1,PV,17.0,5,0,
LF_CCH_U2,CCH_U2,PV,17.0,5,0,
LF_KELAR_TG1,Kelar_TG1,PV,15,5,0,
LF_KELAR_TG2,Kelar_TG2,PV,15,5,0,
LF_KELAR_TV,Kelar_TV,PV,15,5,0,
LF_TG1A,TG1A,PV,15,5,0,
LF_TG1B,TG1B,PV,15,5,0,
LF_TV1C,TV1C,PV,15,5,0,
LF_TG2A,TG2A,PV,15,5,0,
LF_TG2B,TG2B,PV,15,5,0,
LF_TV2C,TV2C,PV,15,5,0,
LF_IEM,IEM,PV,20.4,5,0,
LF_CTM3_TG,CTM3_TG,PV,15,5,0,
LF_CTM3_TV,CTM3_TV,PV,11.5,5,0,
LF_CTH,CTH,PV,16.275,5,0,
LF_CTM2,CTM2,PV,15,5,0,
LF_CTM1,CTM1,PV,13.8,5,0,
LF_CTA,CTA,PV,16.275,5,0,
LF_ANG_U1,Angamos_U1,PV,18.0,5,0,
LF_ANG_U2,Angamos_U2,PV,18.0,5,0,
LF_CDOM_U1,CDOM_U1,PV,12.936,5,0,
LF_CCH_U1,Cochrane_U1,PV,17.82,80,0,
LF_CPABE_U1,C_Pabellon_U1,PV,9.8,5,1.8,
LF_CPABE_U2,C_Pabellon_U2,PV,9.8,5,0,
LF_CPABE_U3,C_Pabellon_U3,PV,9.8,5,0,
LF_NTO_U1,NTO_U1,PV,12.98,5,0,
LF_NTO_U2,NTO_U2,PV,13.6,5,0,
LF_CTTAR,CTTAR,PV,13.8,5,480,
LF_CTTAR,TGTAR,PV,13.8,5,480,
LF_CCH_U2,Cochrane_U2,PV,17.82,80,0,
LF_COLB_U1,Colbun_U1,PV,14.2,5,480,
LF_COLB_U2,Colbun_U2,PV,14.2,5,23.8,
LF_LGUINDOS_U1,LosGuindos_U1,PV,15,5,480,
LF_LGUINDOS_U2,LosGuindos_U2,PV,15,5,480,
LF_SMARI_U1,StaMaria_U1,PV,18,5,480,
LF_SFeE_U1_U1,SantaFeEnergia_U1,PV,13.2,5,480,
LF_SFe_U2,SantaFe_U2,PV,13.793999999999998,5,480,
LF_SFe_U2,SantaFe_U3,PV,13.793999999999998,5,480,
LF_PACIFIC_U1,Pacifico_U1,PV,13.463999999999998,5,480,
LF_PACIFIC_U1,Pacifico_U2,PV,13.463999999999998,5,480,
LF_PACIFIC_U1,Pacifico_U3,PV,13.463999999999998,5,480,
LF_TORO_U1,El_Toro_U1,PV,13.524,5,480,
LF_TORO_U3,El_Toro_U3,PV,13.524,5,480,
LF_TORO_U2,El_Toro_U2,PV,13.524,5,480,
LF_TORO_U4,El_Toro_U4,PV,13.524,5,480,
LF_SLIDIA_U1,StaLidia_U1,PV,15,5,480,
LF_LPINOS_U1,LosPinos_U1,PV,11.5,5,480,
LF_MAMP_U1,Mampil_U1,PQ,13.524,20,1,
LF_MAMP_U2,Mampil_U2,PV,13.938,5,480,
LF_PETPOWER_U1,Petropower_U1,PV,11.27,5,480,
LF_ANTILH_U1,Antilhue_U1,PV,11.615,5,480,
LF_ANTILH_U2,Antilhue_U2,PV,11.615,5,480,
LF_BOCA_II,Bocamina_II,PV,18,5,480,
c_laja,c_laja,PQ,11,5,-5.8,
C_Maipo_PA,C_Maipo_PA,PQ,11,5,-3.5,
LF_CANU_U1,Canutillar_U1,PV,13.8,5,480,
LF_CANU_U2,Canutillar_U2,PV,13.8,5,480,
Central_Rucatayo,Central_Rucatayo,PV,13.62,5,-3.33,
C_ANTILLANCA,C_ANTILLANCA,PQ,13.8,5,-4.6,
LF_VALD_U1,Valdivia_U1,PV,16.1,5,9.4,
LF_CARILAF,C_CARILAF,PQ,13.8,5,-4.5,
LF_PANG_U1,Pangue_U1,PV,13.5,5,480,
LF_PANG_U2,Pangue_U2,PV,13.524,5,480,
LF_ANTU_U1,Antuco_U1,PV,13.938,5,480,
LF_ANTU_U2,HE_Antuco_U1,PV,13.2,5,480,
LF_RALC_U1,Ralco_U1,Slack,13.938,5,13.56977132,
LF_RALC_U2,Ralco_U2,PV,13.8,5,480,
c_palmucho,c_palmucho,PV,14,5,-8.4,
LF_RUCUE_U1,Rucue_U1,PV,14.3,5,480,
LF_RUCUE_U2,Rucue_U2,PV,14.214,5,480,
LF_QUILLEC_U1,Quilleco_U1,PV,14.1,5,8.3,
LF_QUILLEC_U2,Quilleco_U2,PV,14.214,5,480,
La_Mina_RColorado,La_Mina_RColorado,PQ,13.8,5,0,
LF_LomaAlta,C_LomaAlta,PQ,13.8,5,-3.3,
LF_NIUBLE_U1,Niuble_U1,PV,14.076,5,480,
LF_DIGUA_U1,LFS_DIGUA_U1,PQ,6.6,5,1.6,
Loma_Alta_LHierros,Loma_Alta_LHierros,PV,14.427,5,-7.11,
LF_PEUCH_U1,Peuchen_U1,PV,14.1,5,480,
LF_PEUCH_U2,Peuchen_U2,PV,13.938,5,480,
LF_MACHI_U1,Machicura_U1,PV,14,5,9,
LF_MACHI_U2,Machicura_U2,PV,14,5,480,
Pehuenche_U1_lf,Pehuenche_U1,PV,13.8,5,480,
Pehuenche_U2_LF,Pehuenche_U2,PV,13.8,5,73.8,
LF_Candelar_U1,Candelar_U1,PV,14.8999,5,7.1,
LF_RAPEL_U2,Rapel_U2,PV,15,0,480,
LF_LHIGUER_U1,LaHiguera_U1,PV,14.3,5,8.3,
LF_LHIGUER_U2,LaHiguera_U2,PV,14.3,5,8.3,
LF_EPASO_U1,ElPaso_U1,PQ,10.5,5,1.7,
LF_EPASO_U2,ElPaso_U2,PV,10.5,5,4,
LF_EPASO_U3,ElPaso_U3,PV,10.5,5,4,
LF_SANDRES_U1,SanAndres_U1,PV,10.5,5,4,
LF_SANDRES_U2,SanAndres_U2,PQ,10.5,5,1.3,
LF_LCONFLUE_U1,LaConfluencia_U1,PV,15.1,5,8.3,
LF_LCONFLUE_U2,LaConfluencia_U2,PV,15.2,5,8.3,
LF_MAPA_TG7,MAPA_TG7,PV,15,5,480,
LF_MAPA_TG8,MAPA_TG8,PV,15,5,480,
LF_ANG_U2,Angostura_U2,PV,13.524,121,480,
LF_ANG_U3,Angostura_U3,PV,13.524,5,480,
LF2,Angostura_U1,PV,13.8,74,480,
LF4,SM1,PV,15,0,480,
LF4,SM3,PV,15,0,480,
LF12,SM3,PQ,13.8,0.001,0,
LF1,SM3,PQ,223.3514729018865,-614.336,0,
LF3,SM3,PV,12.8,-1,0,
LF2,SM3,PQ,520.0033388277735,585.68,0,
LF5,SM3,PV,15,0,480,
LF6,SM3,PV,15,0,480,
LF7,SM3,PV,15,0,480,
LF_Colbun66,SM3,PV,63.36,9.54,-0.4,
LF8,SM3,PQ,13.8,0.001,0,
LF9,SM3,PQ,13.8,0.001,0,
LF10,SM3,PQ,13.8,0.001,0,
LF11,SM3,PQ,13.8,0.001,0,
LF13,SM3,PQ,13.8,0.001,0,
