Name_PV,LibType,N_PV_arrays,N_PV_inServ,S_spv,Unit,P_ctrlMode,Active_ref,Unit,Q_ctrlMode,Reactive_ref,Unit,s_nom,p_mw,q_mw,p_pu,q_pu
PFV_RIO_ESCONDIDO,WECC PV park,21,21,7,MVA,2,0.27,pu,1,0,pu,147,39.69000000,0.00000000,0.27000000,0.00000000
PFV_EL_PELICANO,WECC PV park,66,66,1.6667,MVA,2,0.27,pu,1,-0.1464,pu,110.0022,29.70059400,-16.10432208,0.27000000,-0.14640000
PFV_LA_HUELLA,WECC PV park,26,26,3.63,MVA,2,0.27,pu,1,-0.255,pu,94.38,25.48260000,-24.06690000,0.27000000,-0.25500000
PFV_EL_ROMERO,WECC PV park,190,190,1.08889,MVA,2,0.27,pu,1,-0.3592,pu,206.88909999999998,55.86005700,-74.31456472,0.27000000,-0.35920000
PFV_SAN_ANDRES,WECC PV park,35,35,1.445,MVA,2,0.27,pu,1,-0.1226,pu,50.575,13.65525000,-6.20049500,0.27000000,-0.12260000
PFV_LLANO_DE_LLAMPOS,WECC PV park,66,66,1.667,MVA,2,0.27,pu,1,-0.3172,pu,110.022,29.70594000,-34.89897840,0.27000000,-0.31720000
PFV_GUANCHOI,WECC PV park,30,30,1.667,MVA,2,0.27,pu,1,0.0482,pu,50.01,13.50270000,2.41048200,0.27000000,0.04820000
PFV_DIEGO_DE_ALMAGRO_SUR,WECC PV park,46,46,4.6,MVA,2,0.7661,pu,1,0.0213,pu,211.6,162.10676000,4.50708000,0.76610000,0.02130000
PFV_CAMPOS_DEL_SOL,WECC PV park,245,245,1.667,MVA,2,0.27,pu,1,-0.0601,pu,408.415,110.27205000,-24.54574150,0.27000000,-0.06010000
PFV_LUZ_DEL_NORTE,WECC PV park,172,172,0.88,MVA,2,0.27,pu,1,0,pu,151.36,40.86720000,0.00000000,0.27000000,0.00000000
PFV_MALGARIDA_I_II,WECC PV park,142,142,1.637,MVA,2,0.27,pu,1,0,pu,232.454,62.76258000,0.00000000,0.27000000,0.00000000
PFV_ALMEYDA,WECC PV park,1,1,60.5,MVA,2,0.27,pu,1,0,pu,60.5,16.33500000,0.00000000,0.27000000,0.00000000
PMGD_PFV_Cardones110,WECC PV park,138,138,1,MVA,2,0.27,pu,1,0,pu,138,37.26000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_DAlmagro110,WECC PV park,41,41,1,MVA,2,0.27,pu,1,0,pu,41,11.07000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_Maitencillo110,WECC PV park,38,38,1,MVA,2,0.27,pu,1,0,pu,38,10.26000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_Quillota110,WECC PV park,52,52,1,MVA,2,0.27,pu,1,0,pu,52,14.04000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_ElPenon110,WECC PV park,215,215,1,MVA,2,0.27,pu,1,0,pu,215,58.05000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_LVilos220,WECC PV park,116,116,1,MVA,2,0.27,pu,1,0,pu,116,31.32000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_PAzucar110,WECC PV park,96,96,1,MVA,2,0.27,pu,1,0,pu,96,25.92000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_ASanta220,WECC PV park,121,121,1,MVA,2,0.27,pu,1,0,pu,121,32.67000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_LVegas110,WECC PV park,141,141,1,MVA,2,0.27,pu,1,0,pu,141,38.07000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_Batuco110,WECC PV park,62,62,1,MVA,2,0.27,pu,1,0,pu,62,16.74000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_Chena110,WECC PV park,147,147,1,MVA,2,0.27,pu,1,0,pu,147,39.69000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_Renca110,WECC PV park,39,39,1,MVA,2,0.27,pu,1,0,pu,39,10.53000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_CNavia110,WECC PV park,62,62,1,MVA,2,0.27,pu,1,0,pu,62,16.74000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_Florida110,WECC PV park,64,64,1,MVA,2,0.27,pu,1,0,pu,64,17.28000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_AJahuel110,WECC PV park,66,66,1,MVA,2,0.27,pu,1,0,pu,66,17.82000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_AMelipilla220,WECC PV park,144,144,1,MVA,2,0.27,pu,1,0.02,pu,144,38.88000000,2.88000000,0.27000000,0.02000000
PMGD_PFV_Polpaico220,WECC PV park,134,134,1,MVA,2,0.27,pu,1,0,pu,134,36.18000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_Rapel220,WECC PV park,266,266,1,MVA,2,0.27,pu,1,0,pu,266,71.82000000,0.00000000,0.27000000,0.00000000
PFV_Dona_Antonia_OG,WECC PV park,82,82,1,MVA,2,0.27,pu,1,0.05,pu,82,22.14000000,4.10000000,0.27000000,0.05000000
PFV_Don_Humberto_OG,WECC PV park,81,81,1,MVA,2,0.27,pu,1,0,pu,81,21.87000000,0.00000000,0.27000000,0.00000000
PFV_Tamarico_OG,WECC PV park,165,165,1,MVA,2,0.27,pu,1,0,pu,165,44.55000000,0.00000000,0.27000000,0.00000000
PFV_Libertad_II_OG,WECC PV park,136,136,1,MVA,2,0.27,pu,1,0,pu,136,36.72000000,0.00000000,0.27000000,0.00000000
PFV_Libertad_III_OG,WECC PV park,136,136,1,MVA,2,0.27,pu,1,0,pu,136,36.72000000,0.00000000,0.27000000,0.00000000
PFV_Leyda_OG,WECC PV park,95,95,1,MVA,2,0.27,pu,1,0,pu,95,25.65000000,0.00000000,0.27000000,0.00000000
PFV_Central_DDA_OG,WECC PV park,293,293,1,MVA,2,0.27,pu,1,0,pu,293,79.11000000,0.00000000,0.27000000,0.00000000
PFV_Sol_de_Vallenar_OG,WECC PV park,123,123,1,MVA,2,0.27,pu,1,0,pu,123,33.21000000,0.00000000,0.27000000,0.00000000
PFV_Peldehue_Solar_OG,WECC PV park,120,120,1,MVA,2,0.27,pu,1,0,pu,120,32.40000000,0.00000000,0.27000000,0.00000000
PFV_Cachiyuyo_OG,WECC PV park,53,53,1,MVA,2,0.27,pu,1,0,pu,53,14.31000000,0.00000000,0.27000000,0.00000000
PFV_Capricornio_new,WECC PV park,57,57,1.667,MVA,2,1,pu,1,0,pu,95.019,95.01900000,0.00000000,1.00000000,0.00000000
PV_PAMPA_TIGRE,WECC PV park,100,100,1.089,MVA,2,0.617,pu,1,0,pu,108.89999999999999,67.19130000,0.00000000,0.61700000,0.00000000
PFV_Andes_Solar,WECC PV park,40,40,1.453,MVA,2,0.617,pu,1,-0.1068,pu,58.120000000000004,35.86004000,-6.20721600,0.61700000,-0.10680000
PFV_UribeSolar,WECC PV park,32,32,1.667,MVA,2,0.27,pu,1,-0.1012,pu,53.344,14.40288000,-5.39841280,0.27000000,-0.10120000
PFV_Bolero,WECC PV park,94,94,1.56,MVA,2,0.27,pu,1,-0.3676,pu,146.64000000000001,39.59280000,-53.90486400,0.27000000,-0.36760000
PFV_Cerro_Dominador,WECC PV park,66,66,1.667,MVA,2,0.27,pu,1,0.031,pu,110.022,29.70594000,3.41068200,0.27000000,0.03100000
PFV_TamayaSolar,WECC PV park,69,69,1.667,MVA,2,0.27,pu,1,-0.1,pu,115.023,31.05621000,-11.50230000,0.27000000,-0.10000000
PFV_Finis_Terrae_I,WECC PV park,48,48,1.667,MVA,2,0.27,pu,1,0,pu,80.016,21.60432000,0.00000000,0.27000000,0.00000000
PFV_Finis_Terrae_II,WECC PV park,48,48,1.667,MVA,2,0.27,pu,1,0,pu,80.016,21.60432000,0.00000000,0.27000000,0.00000000
PFV_Usya_AzaBache,WECC PV park,69,69,1.667,MVA,2,0.27,pu,1,-0.109,pu,115.023,31.05621000,-12.53750700,0.27000000,-0.10900000
PFV_Sol_del_Desierto_II,WECC PV park,72,72,3.437,MVA,2,0.27,pu,1,-0.108,pu,247.464,66.81528000,-26.72611200,0.27000000,-0.10800000
PFV_San_Pedro,WECC PV park,70,70,1.637,MVA,2,0.27,pu,1,0.0107,pu,114.59,30.93930000,1.22611300,0.27000000,0.01070000
PFV_Andes_Solar_IIA,WECC PV park,21,21,4.015,MVA,2,1,pu,1,-0.0901,pu,84.315,84.31500000,-7.59678150,1.00000000,-0.09010000
PFV_iem_ten,WECC PV park,94,94,1.56,MVA,2,0.685106383,pu,1,-0.14893617,pu,146.64000000000001,100.46400000,-21.83999997,0.68510638,-0.14893617
PFV_COCHRANE,WECC PV park,94,94,1.56,MVA,2,0.27,pu,1,-0.21,pu,146.64000000000001,39.59280000,-30.79440000,0.27000000,-0.21000000
PFV_KAPATUIR,WECC PV park,115,115,1.56,MVA,2,0.27,pu,1,-0.091304348,pu,179.4,48.43800000,-16.38000039,0.27000000,-0.09130435
PFV_NCHUQUI,WECC PV park,72,72,3.437,MVA,2,0.27,pu,2,0,pu,247.464,66.81528000,0.00000000,0.27000000,0.00000000
PFV_IEM_TEN,WECC PV park,72,72,3.437,MVA,2,0.27,pu,1,-0.0875,pu,247.464,66.81528000,-21.65310000,0.27000000,-0.08750000
PFV_PALM_HUAYCA,WECC PV park,30,30,1.667,MVA,2,0.27,pu,1,0,pu,50.01,13.50270000,0.00000000,0.27000000,0.00000000
PMGD_PFV_Lagunas220,WECC PV park,54,54,1,MVA,2,0.27,pu,1,0,pu,54,14.58000000,0.00000000,0.27000000,0.00000000
PMGD_PFV_PAlmonte110,WECC PV park,108,108,1,MVA,2,0.27,pu,1,0,pu,108,29.16000000,0.00000000,0.27000000,0.00000000
