Name_of_SG,V_nom,s_nom, V_a, H kgm^2/rad,
TER_DONA_LUZMA_OG,13.8,40,18.0,5,
HP_TRUPAN_OG,13.8,20,18.0,5,
HP_DOS_VALLES_AMP_OG,13.8,5,18.0,5,
HP_LOS_CONDORES_OG,13.8,162,18.0,5,
HP_NUBLE_OG,13.8,136,18.0,5,
HP_LOS_LAGOS_OG,13.8,54,18.0,5,
CCSS_ILLAPA_ALUPAR,15,270,17963,5,
SM3,15,360,17963,5,
CCSS_AMARIA_ALUPAR,15,360,18.0,5,
CCSS_AMARIA_TRANSELEC,15,92,17963,10,
CCSS_LIKANANTAI_TRANSELEC,15,92,17963,10,
TER_DONA_LUZMA_OG,13.8,40,18.0,5,
HP_TRUPAN_OG,13.8,20,18.0,5,
HP_DOS_VALLES_AMP_OG,13.8,5,18.0,5,
HP_LOS_CONDORES_OG,13.8,162,18.0,5,
HP_NUBLE_OG,13.8,136,18.0,5,
HP_LOS_LAGOS_OG,13.8,54,18.0,5,
CCSS_ILLAPA_ALUPAR,15,270,17963,5,
SM3,15,360,17963,5,
CCSS_AMARIA_ALUPAR,15,360,18.0,5,
CCSS_AMARIA_TRANSELEC,15,92,17963,10,
CCSS_LIKANANTAI_TRANSELEC,15,92,17963,10,
Nueva_Ventanas,18,330,18,6.93,
Campiche,18,330,18,6.8,
Ventanas_U1,13.8,135.3,13.8,3.64,
Ventanas_U2,18,257.1,18,3.04,
Cardones_U1,15.75,179.86,15.75,5.5,
Taltal_U1,15,165,15,5.5,
Taltal_U2,15,165,15,5.5,
San_Isidro_U1_TV,15,162.412,15,4.5,
Rapel_U1,13.8,76,13.8,4,
Rapel_U2,13.8,72.2,13.8,4,
Rapel_U3,13.8,76,13.3,4,
Rapel_U4,13.8,76,13.8,4,
Rapel_U5,13.8,76,13.8,4,
San_Isidro_U1_TG,13.8,283.59,13.8,4,
San_Isidro_U1_TV,15,162.412,15,4.5,
San_Isidro_U2_TV,13.2,163,13.2,7.92,
San_Isidro_U2_TG,15,305,15,7,
GUACOLDA_U1,13.8,176.5,13.799999999999974,4.32,
GUADOLDA_U2,13.8,176.5,13.799999999999974,4.32,
GUACOLDA_U3,13.3,178.82,13.424772670912212,4.95,
GUACOLDA_U4,14.5,178.72,14.5,4.95,
GUACOLDA_U5,14.5,181.177,14.5,4.95,
Quintero_TG1A,15,170.47,15,6.03,
Quintero_TG1B,15,170.47,15,5.35,
Nehuenco_U1_TV,10.5,175,10.5,7.2,
Nehuenco_U1_TG,15.75,273,15.75,7.7,
Nehuenco_U2_TG,15.75,300,15.75,4.6,
Nehuenco_U2_TV,15.75,164,15.75,6.27,
Nehuenco_U3,10.5,111.625,10.5,7.5,
Hornitos_U1,11,59.8,11,2.7,
LosQuilos,6.6,38.8,6.6,1.6,
Blanco,12,56,12,2.895,
Juncal,12,30,12,2.65,
Guacolda_U1,13.8,176.5,13.8,4.32,
