Name_of_TF,N_of_Windings,Parameter,Value,Unit,AssociateSG
TR_NVENTA_N1,2,S,320,MVA,Nueva_Ventanas
,,f,50,Hz,
,,WV1,231,kV_RMSLL,
,,WV2,18,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0025,pu,
,,Winding_X,0.1333066,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CAMPI_N1,2,S,300,MVA,Campiche
,,f,50,Hz,
,,WV1,231,kV_RMSLL,
,,WV2,18,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00223067,pu,
,,Winding_X,0.1251301,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_VENTA_N3,2,S,66,MVA,Ventanas_U1
,,f,50,Hz,
,,WV1,110,kV_RMSLL,
,,WV2,13.2,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00433939,pu,
,,Winding_X,0.09780379,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_VENTA_N4,2,S,66,MVA,Ventanas_U1
,,f,50,Hz,
,,WV1,110,kV_RMSLL,
,,WV2,13.2,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00447273,pu,
,,Winding_X,0.09889891,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_VENTA_N1,2,S,200,MVA,Ventanas_U2
,,f,50,Hz,
,,WV1,107,kV_RMSLL,
,,WV2,17.3,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00322,pu,
,,Winding_X,0.1061512,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_VENTA_N2,2,S,200,MVA,Ventanas_U2
,,f,50,Hz,
,,WV1,107,kV_RMSLL,
,,WV2,17.3,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00322,pu,
,,Winding_X,0.1061512,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CARDO_N1,2,S,184,MVA,Cardones_U1
,,f,50,Hz,
,,WV1,220,kV_RMSLL,
,,WV2,15.75,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00273913,pu,
,,Winding_X,0.12497,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TALT_N1,2,S,124,MVA,Taltal_U1
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
,,WV2,15,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.0032896,pu,
,,Winding_X,0.1378608,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TALT_N2,2,S,124,MVA,Taltal_U2
,,f,50,Hz,
,,WV1,230,kV_RMSLL,
