Name_LoadLF,LibType,Status,P_loadLF,Unit,Q_loadLF,Unit,p_mw,q_mw,Np,Nq,connectionType
TR_LAMPA_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
AJAHUEL_154,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_CHENA_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_CHENA_N2,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_AMELIPI_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_MAITENES_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
SPEDRO_110,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
ATR_QUILL_N123,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_LOSVILOS_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_PAZUC_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
CASERONES_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
AGROSUPER_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_MAITE_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_MAITE_N2,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
ATR_CARDO_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0.53,Yg
CNEGRON_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
BUIN_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
AJAHUEL_110,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
SE_ESTRELLA110,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
NEPTUNO_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
ATR_RACON_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
DALMAG_110,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
R_PAPOSO,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_SPEDRO220,PQ load Yg with load-flow (LF),0,4,MW,3,MVAR,12,9,0,0,Yg
TR_MANZA2201,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ESALTO220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
CNAVIA_TR_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
CNAVIA_TR_N2,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
CNAVIA_TR_N3,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
PORTEZUELO_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ASANTA_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_PE_TALTAL,PQ load Yg with load-flow (LF),0,4,MW,3,MVAR,12,9,0,0,Yg
COIPA_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_GUAC220,PQ load Yg with load-flow (LF),0,4,MW,3,MVAR,12,9,0,0,Yg
SEM_CANDELARIA,PQ load Yg with load-flow (LF),0,4,MW,3,MVAR,12,9,0,0,Yg
L_SE_SAG,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
Load1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_CORDILL220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_CHICUREO2202,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_PIUQUENES220,PQ load Yg with load-flow (LF),0,4,MW,3,MVAR,12,9,0,0,Yg
L_CLEONES,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_MANZA2202,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_CHICUREO2201,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
CANDELARIA_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_LALIGUA_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TAP_MAURO220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
LPIUQUE_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_POLVORA_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_CASABLANCA_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
PORTEZUELO_110,PQ load Yg with load-flow (LF),0,4,MW,3,MVAR,12,9,0,0,Yg
TR_LALMEND_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ALFALFAL_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_CORDILLERA220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_RTOMIC,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_MMH,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ELTESORO,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ESPERANZA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ANTUCOYA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
EB_SGORDA_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_GABY,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_MBLANCOS,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_LBAYAS,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_FORTUNA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_O_MINSAL_N1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_NZALDIVAR,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_OGP1,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_SULFUROS,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ESCONDIDA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_DOMEYKO,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_BOM3_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_BOM4_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_BOM2_220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
ELPENON_220,PQ load Yg with load-flow (LF),0,4,MW,3,MVAR,12,9,0,0,Yg
TR_CHIMBORA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_LA_CRUZ,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_BARRILES,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_COLOSO,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
