Name_LoadLF,LibType,Status,P_loadLF,Unit,Q_loadLF,Unit,p_mw,q_mw,Np,Nq,connectionType
TR_LAMPA_220,PQ load Yg with load-flow (LF),1,106.13337,MW,4.18666666,MVAR,318.40011,12.55999998,0,0,Yg
AJAHUEL_154,PQ load Yg with load-flow (LF),1,40.1833,MW,20.553333,MVAR,120.54990000000001,61.659999,0,0,Yg
TR_CHENA_N1,PQ load Yg with load-flow (LF),1,96.4,MW,22.81,MVAR,289.20000000000004,68.42999999999999,0,0,Yg
TR_CHENA_N2,PQ load Yg with load-flow (LF),1,96.4,MW,22.86666666666667,MVAR,289.20000000000004,68.60000000000001,0,0,Yg
TR_AMELIPI_N1,PQ load Yg with load-flow (LF),1,43.8,MW,0.39333333,MVAR,131.39999999999998,1.17999999,0,0,Yg
TR_MAITENES_220,PQ load Yg with load-flow (LF),1,84.16667,MW,57.59666666,MVAR,252.50000999999997,172.78999998,0,0,Yg
SPEDRO_110,PQ load Yg with load-flow (LF),1,50.9,MW,9.9333333,MVAR,152.7,29.799999899999996,0,0,Yg
ATR_QUILL_N123,PQ load Yg with load-flow (LF),1,61.4333,MW,17.01,MVAR,184.2999,51.03,0,0,Yg
TR_LOSVILOS_N1,PQ load Yg with load-flow (LF),1,29.4333,MW,7.8,MVAR,88.2999,23.4,0,0,Yg
TR_PAZUC_N1,PQ load Yg with load-flow (LF),1,88.74,MW,15.32333333333,MVAR,266.21999999999997,45.96999999999,0,0,Yg
CASERONES_220,PQ load Yg with load-flow (LF),1,33.97,MW,-10.89666667,MVAR,101.91,-32.69000001,0,0,Yg
AGROSUPER_220,PQ load Yg with load-flow (LF),1,6.6667,MW,3.08,MVAR,20.0001,9.24,0,0,Yg
TR_MAITE_N1,PQ load Yg with load-flow (LF),1,10.68667,MW,1.63666667,MVAR,32.06001,4.91000001,0,0,Yg
TR_MAITE_N2,PQ load Yg with load-flow (LF),1,10.9233,MW,1.72,MVAR,32.7699,5.16,0,0,Yg
ATR_CARDO_N1,PQ load Yg with load-flow (LF),1,69.7,MW,7.5,MVAR,209.10000000000002,22.5,0,0.53,Yg
BUIN_220,PQ load Yg with load-flow (LF),1,82.8667,MW,-15.266666666,MVAR,248.6001,-45.799999998000004,0,0,Yg
AJAHUEL_110,PQ load Yg with load-flow (LF),1,40.1833,MW,-11.08,MVAR,120.54990000000001,-33.24,0,0,Yg
SE_ESTRELLA110,PQ load Yg with load-flow (LF),1,24.23,MW,3.9666666,MVAR,72.69,11.8999998,0,0,Yg
NEPTUNO_220,PQ load Yg with load-flow (LF),1,20.8667,MW,7.2166666,MVAR,62.600100000000005,21.6499998,0,0,Yg
ATR_RACON_N1,PQ load Yg with load-flow (LF),1,31.89,MW,10.8033333,MVAR,95.67,32.4099999,0,0,Yg
DALMAG_110,PQ load Yg with load-flow (LF),1,33.3667,MW,7.366666666667,MVAR,100.1001,22.100000000001,0,0,Yg
R_PAPOSO,PQ load Yg with load-flow (LF),1,5.68666667,MW,-0.16667,MVAR,17.06000001,-0.5000100000000001,0,0,Yg
TR_MANZA2201,PQ load Yg with load-flow (LF),1,21.0166667,MW,0.633333334,MVAR,63.05000009999999,1.900000002,0,0,Yg
TR_ESALTO220,PQ load Yg with load-flow (LF),1,151.0667,MW,20.8666666667,MVAR,453.2001,62.600000000099996,0,0,Yg
CNAVIA_TR_N1,PQ load Yg with load-flow (LF),1,105.20445,MW,31.2366666666,MVAR,315.61334999999997,93.7099999998,0,0,Yg
CNAVIA_TR_N2,PQ load Yg with load-flow (LF),1,98.53778,MW,31.60333333,MVAR,295.61334,94.80999999000001,0,0,Yg
CNAVIA_TR_N3,PQ load Yg with load-flow (LF),1,98.53778,MW,31.60333333,MVAR,295.61334,94.80999999000001,0,0,Yg
PORTEZUELO_220,PQ load Yg with load-flow (LF),1,67.93333,MW,0.31,MVAR,203.79998999999998,0.9299999999999999,0,0,Yg
TR_ASANTA_N1,PQ load Yg with load-flow (LF),1,83.76,MW,36.11,MVAR,251.28000000000003,108.33,0,0,Yg
COIPA_220,PQ load Yg with load-flow (LF),1,39.66667,MW,-2.7266667,MVAR,119.00001,-8.1800001,0,0,Yg
SEM_CANDELARIA,PQ load Yg with load-flow (LF),1,16.4667,MW,3.966666667,MVAR,49.400099999999995,11.900000001,0,0,Yg
L_SE_SAG,PQ load Yg with load-flow (LF),1,17.1,MW,8.3333333334,MVAR,51.300000000000004,25.000000000200003,0,0,Yg
Load1,PQ load Yg with load-flow (LF),1,20.49667,MW,5,MVAR,61.490010000000005,15,0,0,Yg
TR_CORDILL220,PQ load Yg with load-flow (LF),1,10.1,MW,6.83333333334,MVAR,30.299999999999997,20.50000000002,0,0,Yg
TR_CHICUREO2202,PQ load Yg with load-flow (LF),1,4.7667,MW,1.4333333333334,MVAR,14.3001,4.3000000000002,0,0,Yg
L_PIUQUENES220,PQ load Yg with load-flow (LF),1,47.2,MW,-8.666666667,MVAR,141.60000000000002,-26.000000000999996,0,0,Yg
L_CLEONES,PQ load Yg with load-flow (LF),1,0,MW,-3.0666666667,MVAR,0,-9.200000000100001,0,0,Yg
TR_MANZA2202,PQ load Yg with load-flow (LF),1,25.34,MW,2,MVAR,76.02,6,0,0,Yg
TR_CHICUREO2201,PQ load Yg with load-flow (LF),1,0.7333,MW,0.53333333334,MVAR,2.1999,1.60000000002,0,0,Yg
CANDELARIA_220,PQ load Yg with load-flow (LF),1,34.6,MW,3.2033333,MVAR,103.80000000000001,9.6099999,0,0,Yg
TR_LALIGUA_N1,PQ load Yg with load-flow (LF),1,10.64,MW,-0.25,MVAR,31.92,-0.75,0,0,Yg
TAP_MAURO220,PQ load Yg with load-flow (LF),1,12.5,MW,0.97,MVAR,37.5,2.91,0,0,Yg
TR_POLVORA_N1,PQ load Yg with load-flow (LF),1,21.3667,MW,-13.283333,MVAR,64.1001,-39.849999000000004,0,0,Yg
TR_CASABLANCA_N1,PQ load Yg with load-flow (LF),1,10.85667,MW,-0.8733333,MVAR,32.570009999999996,-2.6199999,0,0,Yg
PORTEZUELO_110,PQ load Yg with load-flow (LF),0,0,MW,0,MVAR,0,0,0,0,Yg
TR_LALMEND_N1,PQ load Yg with load-flow (LF),1,73.22667,MW,16,MVAR,219.68000999999998,48,0,0,Yg
TR_ALFALFAL_N1,PQ load Yg with load-flow (LF),1,0.2,MW,1.47666666,MVAR,0.6000000000000001,4.42999998,0,0,Yg
TR_CORDILLERA220,PQ load Yg with load-flow (LF),1,63.3333,MW,6.24,MVAR,189.9999,18.72,0,0,Yg
TR_RTOMIC,PQ load Yg with load-flow (LF),1,27.2,MW,0.7933333333333334,MVAR,81.6,2.3800000000000003,0,0,Yg
TR_MMH,PQ load Yg with load-flow (LF),1,27.0667,MW,10.93333333334,MVAR,81.2001,32.80000000002,0,0,Yg
TR_ELTESORO,PQ load Yg with load-flow (LF),1,0.03333333,MW,0.033333333,MVAR,0.09999999000000001,0.099999999,0,0,Yg
TR_ESPERANZA,PQ load Yg with load-flow (LF),1,35.59667,MW,8,MVAR,106.79001000000001,24,0,0,Yg
TR_ANTUCOYA,PQ load Yg with load-flow (LF),1,1.2333333333333333,MW,3.6,MVAR,3.7,10.8,0,0,Yg
EB_SGORDA_220,PQ load Yg with load-flow (LF),1,9.3,MW,1.59666667,MVAR,27.900000000000002,4.79000001,0,0,Yg
TR_GABY,PQ load Yg with load-flow (LF),1,13.2667,MW,4.6933333,MVAR,39.8001,14.0799999,0,0,Yg
TR_MBLANCOS,PQ load Yg with load-flow (LF),1,7.8,MW,3.96666667,MVAR,23.4,11.90000001,0,0,Yg
TR_LBAYAS,PQ load Yg with load-flow (LF),1,22.69667,MW,0.6666666667,MVAR,68.09001,2.0000000001,0,0,Yg
TR_FORTUNA,PQ load Yg with load-flow (LF),1,19.29667,MW,0.166666667,MVAR,57.89001,0.500000001,0,0,Yg
TR_O_MINSAL_N1,PQ load Yg with load-flow (LF),1,12.2667,MW,9.57666666667,MVAR,36.8001,28.73000000001,0,0,Yg
TR_NZALDIVAR,PQ load Yg with load-flow (LF),1,23.8,MW,1.55333333333,MVAR,71.4,4.659999999989999,0,0,Yg
TR_OGP1,PQ load Yg with load-flow (LF),1,69.3,MW,13.466666667,MVAR,207.89999999999998,40.400000001,0,0,Yg
TR_SULFUROS,PQ load Yg with load-flow (LF),1,32.6667,MW,8.9533333333333333,MVAR,98.0001,26.86,0,0,Yg
TR_ESCONDIDA,PQ load Yg with load-flow (LF),1,21,MW,4.53333333,MVAR,63,13.599999989999998,0,0,Yg
TR_DOMEYKO,PQ load Yg with load-flow (LF),1,97.2433,MW,14.756666667,MVAR,291.72990000000004,44.270000001,0,0,Yg
TR_BOM3_220,PQ load Yg with load-flow (LF),1,1.9,MW,-0.5,MVAR,5.699999999999999,-1.5,0,0,Yg
TR_BOM4_220,PQ load Yg with load-flow (LF),1,1.9,MW,-0.5,MVAR,5.699999999999999,-1.5,0,0,Yg
TR_BOM2_220,PQ load Yg with load-flow (LF),1,15.1444,MW,0.5,MVAR,45.4332,1.5,0,0,Yg
TR_CHIMBORA,PQ load Yg with load-flow (LF),1,21.7444,MW,1.76666667,MVAR,65.2332,5.30000001,0,0,Yg
TR_COLOSO,PQ load Yg with load-flow (LF),1,44.926666667,MW,10.42,MVAR,134.780000001,31.259999999999998,0,0,Yg
TR_CHACAYA110,PQ load Yg with load-flow (LF),1,43.0333,MW,8.35,MVAR,129.0999,25.049999999999997,0,0,Yg
CAITAN220,PQ load Yg with load-flow (LF),1,7.4333,MW,0.3,MVAR,22.2999,0.8999999999999999,0,0,Yg
CAPRICOR_110,PQ load Yg with load-flow (LF),1,6.6,MW,5.7933333333,MVAR,19.799999999999997,17.3799999999,0,0,Yg
TR_SPENCE,PQ load Yg with load-flow (LF),1,52.8667,MW,4.333333,MVAR,158.6001,12.999998999999999,0,0,Yg
TR_PALLATA,PQ load Yg with load-flow (LF),1,11.4,MW,-1.1667,MVAR,34.2,-3.5001,0,0,Yg
TR_ATACAM23,PQ load Yg with load-flow (LF),1,1.566667,MW,0.56666667,MVAR,4.700001,1.7000000100000001,0,0,Yg
TR_PURI220,PQ load Yg with load-flow (LF),1,8.5,MW,1.76666667,MVAR,25.5,5.30000001,0,0,Yg
TR_ELABRA,PQ load Yg with load-flow (LF),1,51.3,MW,1.2,MVAR,153.89999999999998,3.5999999999999996,0,0,Yg
TR_ELCOBRE,PQ load Yg with load-flow (LF),1,8.9667,MW,0.666666667,MVAR,26.9001,2.000000001,0,0,Yg
TR_KELLAR,PQ load Yg with load-flow (LF),1,0.1,MW,0.2,MVAR,0.30000000000000004,0.6000000000000001,0,0,Yg
SAUX_U16,PQ load Yg with load-flow (LF),1,4.03333333333,MW,1.66666666666666666667,MVAR,12.09999999999,5,0,0,Yg
TR_CHAMY_SSAA,PQ load Yg with load-flow (LF),1,4.5,MW,0.233333334,MVAR,13.5,0.700000002,0,0,Yg
L_CALAM,PQ load Yg with load-flow (LF),1,13.8667,MW,0.633333333,MVAR,41.6001,1.8999999990000002,0,0,Yg
TR_TCHITACK,PQ load Yg with load-flow (LF),1,4.5667,MW,0,MVAR,13.700099999999999,0,0,0,Yg
TR_ESMERAL110,PQ load Yg with load-flow (LF),1,27.36666667,MW,6.2666667,MVAR,82.10000001,18.8000001,0,0,Yg
TR_ANGAMOS,PQ load Yg with load-flow (LF),1,0.066666667,MW,0.56666666667,MVAR,0.20000000099999998,1.70000000001,0,0,Yg
TR_LLANOS220,PQ load Yg with load-flow (LF),1,15.1444,MW,0.1666667,MVAR,45.4332,0.5000001000000001,0,0,Yg
L_SEA_CHU,PQ load Yg with load-flow (LF),1,9.01667,MW,-6,MVAR,27.05001,-18,0,0,Yg
L_SK1_CHU,PQ load Yg with load-flow (LF),1,4.509,MW,-2.866666667,MVAR,13.527000000000001,-8.600000001,0,0,Yg
L_SE10_CHU,PQ load Yg with load-flow (LF),1,9.1,MW,0.26666667,MVAR,27.299999999999997,0.80000001,0,0,Yg
L_SE10A,PQ load Yg with load-flow (LF),1,9.01667,MW,3.73333333334,MVAR,27.05001,11.200000000020001,0,0,Yg
L_SKM6,PQ load Yg with load-flow (LF),1,14,MW,3.6,MVAR,42,10.8,0,0,Yg
TR_FARELLON,PQ load Yg with load-flow (LF),1,21.7444,MW,1.76666667,MVAR,65.2332,5.30000001,0,0,Yg
L_COCHRA,PQ load Yg with load-flow (LF),1,0.23333333333334,MW,0.3,MVAR,0.7000000000000199,0.8999999999999999,0,0,Yg
TR_COLLAHU,PQ load Yg with load-flow (LF),1,52.6,MW,3.06667,MVAR,157.8,9.200009999999999,0,0,Yg
TR_QBLANCA,PQ load Yg with load-flow (LF),1,5.2667,MW,0.4,MVAR,15.8001,1.2000000000000001,0,0,Yg
TR_GEOGLIFOS,PQ load Yg with load-flow (LF),1,8.2,MW,2.28,MVAR,24.599999999999998,6.84,0,0,Yg
TR_PARINACOTA,PQ load Yg with load-flow (LF),1,18.2,MW,-2.833333,MVAR,54.599999999999994,-8.499999,0,0,Yg
COLLAH_PS,PQ load Yg with load-flow (LF),1,10.5333,MW,-0.186667,MVAR,31.5999,-0.560001,0,0,Yg
TR_CONDORES,PQ load Yg with load-flow (LF),1,27.9,MW,11.84,MVAR,83.69999999999999,35.519999999999996,0,0,Yg
Puerto_CMDIC,PQ load Yg with load-flow (LF),1,10,MW,2.166667,MVAR,30,6.500000999999999,0,0,Yg
TR_PALMON,PQ load Yg with load-flow (LF),1,10.5333,MW,1.8,MVAR,31.5999,5.4,0,0,Yg
TR_PPATACHE,PQ load Yg with load-flow (LF),1,10.5333,MW,0.9266667,MVAR,31.5999,2.7800000999999996,0,0,Yg
PUQUIOS220,PQ load Yg with load-flow (LF),1,59,MW,8,MVAR,177,24,0,0,Yg
Lagunas23,PQ load Yg with load-flow (LF),1,0.3333,MW,0,MVAR,0.9999,0,0,0,Yg
TR_NVICTORIA,PQ load Yg with load-flow (LF),1,21.2667,MW,4.16666666667,MVAR,63.8001,12.500000000010001,0,0,Yg
TR_NORGENER,PQ load Yg with load-flow (LF),1,0.7,MW,0.2,MVAR,2.0999999999999996,0.6000000000000001,0,0,Yg
TR_SGORDA,PQ load Yg with load-flow (LF),1,75.5,MW,22.9666667,MVAR,226.5,68.9000001,0,0,Yg
AA100_110,PQ load Yg with load-flow (LF),1,0.6,MW,2.9,MVAR,1.7999999999999998,8.7,0,0,Yg
TR_TOCOPILLA,PQ load Yg with load-flow (LF),1,17.2333,MW,5.8,MVAR,51.6999,17.4,0,0,Yg
TR_BARRILES,PQ load Yg with load-flow (LF),1,2.2,MW,1.29,MVAR,6.6000000000000005,3.87,0,0,Yg
TR_LA_CRUZ,PQ load Yg with load-flow (LF),1,2.2,MW,0.8,MVAR,6.6000000000000005,2.4000000000000003,0,0,Yg
TR_SALAR_SE,PQ load Yg with load-flow (LF),1,9,MW,6.3,MVAR,27,18.9,0,0,Yg
TR_NINSAL_N2,PQ load Yg with load-flow (LF),1,7.0333,MW,1.97,MVAR,21.099899999999998,5.91,0,0,Yg
LF_IEM,PQ load Yg with load-flow (LF),1,1.1666667,MW,0.1,MVAR,3.5000001,0.30000000000000004,0,0,Yg
TR_MEJILLON,PQ load Yg with load-flow (LF),1,13.6,MW,4.63,MVAR,40.8,13.89,0,0,Yg
TR_ZALDI220,PQ load Yg with load-flow (LF),1,18.5333,MW,1.2466667,MVAR,55.599900000000005,3.7400001,0,0,Yg
L_GUAC220,PQ load Yg with load-flow (LF),0,4.3333333334,MW,2.13333334,MVAR,13.0000000002,6.40000002,0,0,Yg
CNEGRON_220,PQ load Yg with load-flow (LF),1,30.79,MW,-2.10333333,MVAR,92.37,-6.30999999,0,0,Yg
TR_SPEDRO220,PQ load Yg with load-flow (LF),0,32.2,MW,7.8,MVAR,96.60000000000001,23.4,0,0,Yg
LPIUQUE_220,PQ load Yg with load-flow (LF),1,59.393333,MW,-2.35333333,MVAR,178.179999,-7.05999999,0,0,Yg
PICOLTUE_220,PQ load Yg with load-flow (LF),1,4.5,MW,3.166666666666667,MVAR,13.5,9.5,0,0,Yg
TCHOLG_220,PQ load Yg with load-flow (LF),0,4.533333333334,MW,1.9333333333334,MVAR,13.600000000002001,5.8000000000002,0,0,Yg
MINERO_220,PQ load Yg with load-flow (LF),1,56.4,MW,13.2,MVAR,169.2,39.599999999999994,0,0,Yg
MAULE_220,PQ load Yg with load-flow (LF),1,30.88,MW,8,MVAR,92.64,24,0,0,Yg
TR_CHILOE_110,PQ load Yg with load-flow (LF),1,11.3866666667,MW,1,MVAR,34.1600000001,3,0,0,Yg
TR_PARGUA_220,PQ load Yg with load-flow (LF),1,5.033333333334,MW,3.133333333334,MVAR,15.100000000002001,9.400000000001998,0,0,Yg
ATR_VALDIV_220,PQ load Yg with load-flow (LF),1,17.6,MW,2.47,MVAR,52.800000000000004,7.41,0,0,Yg
ATR_LASTARR_220,PQ load Yg with load-flow (LF),1,9.22,MW,-0.35333333,MVAR,27.660000000000003,-1.0599999900000001,0,0,Yg
TR_ITAHUE_N1,PQ load Yg with load-flow (LF),1,22.7433333334,MW,8.89333333,MVAR,68.2300000002,26.679999990000002,0,0,Yg
TR_MELIPULLI110,PQ load Yg with load-flow (LF),1,20.73333333334,MW,2.2333333333334,MVAR,62.20000000002,6.7000000000002,0,0,Yg
TINGUIRI_220,PQ load Yg with load-flow (LF),1,75.7066666,MW,26.606666666,MVAR,227.11999980000002,79.819999998,0,0,Yg
l_CUNCO110,PQ load Yg with load-flow (LF),1,4.2667,MW,-0.9333333334,MVAR,12.8001,-2.8000000002,0,0,Yg
