Name_PV,Active_ref
PFV_EL_PELICANO,0.27
PFV_LA_HUELLA,0.27
PFV_EL_ROMERO,0.27
PFV_SAN_ANDRES,0.27
PFV_Pampa_Solar_Norte,0.27
PFV_GUANCHOI,0.27
PFV_D_ALMAGRO_SUR,0.27
PFV_CAMPOS_DEL_SOL,0.27
PFV_LUZ_DEL_NORTE,0.27
PFV_CARRERA_PINTO,0.27
PFV_DAlmagro_Equiv,0.27
PFV_Conejo,0.27
PFV_Sol_de_Varas,0.27
PFV_Nuevo_Futuro,0.27
PFV_Punta_del_Viento,0.27
PFV_Libelula_Gen,0.27
PFV_Meseta_de_los_Andes,0.27
PMGD_PFV_DAlmagro110,0.27
PMGD_PFV_Maitencillo110,0.27
PMGD_PFV_LVilos220,0.27
PMGD_PFV_PAzucar110,0.27
PMGD_PFV_ASanta220,0.27
PMGD_PFV_LVegas110,0.27
PMGD_PFV_Renca110,0.27
PMGD_PFV_CNavia110,0.27
PMGD_PFV_Florida110,0.27
PMGD_PFV_AJahuel110,0.27
PMGD_PFV_Polpaico220,0.27
PMGD_PFV_Rapel220,0.27
PFV_Dona_Antonia_OG,0.27
PFV_Don_Humberto_OG,0.27
PFV_Libertad_III_OG,0.27
PFV_Leyda_OG,0.27
PFV_Cachiyuyo_OG,0.27
PFV_Capricornio,0.27
PFV_Pampa_PTigre,0.27
PFV_Domeyko,0.27
PFV_Andes_Solar_SD_SA_SN,0.27
PFV_Sol_del_Lila,0.27
PFV_UribeSolar,0.27
PFV_Bolero,0.27
PFV_VALLE_DEL_SOL,0.27
PFV_Cerro_Dominador,0.27
PFV_Finis_Terrae_I,0.27
PFV_Finis_Terrae_II,0.27
PFV_Jama_I_II,0.27
PFV_Usya_AzaBache,0.27
PFV_Maria_Elena,0.27
PFV_San_Pedro,0.27
PFV_Andes_Solar_II,0.27
PFV_STA_ISABEL,0.27
PFV_Coya,0.27
PFV_Pedro_de_Valdivia,0.27
PFV_COCHRANE,0.27
PFV_KAPATUIR,0.27
PFV_IEM_TEN,0.27
PFV_Nuevo_Quillahua,0.27
PMGD_PFV_Lagunas220,0.27
PMGD_PFV_Crucero220,0.27
PMGD_PFV_Esmeralda110,0.27
PFV_Gabriela_OG,0.27
PFV_Andes_III_Etapa1_OG,0.27
PFV_Quilapilun,0.27
PFV_Willka2_New,0.27
PFV_Tirana_Oeste_OG,0.27
PFV_Zaldívar_OG,0.27
PFV_Solar_Toro_OG,0.27
PFV_SALAR_DE_HUASCO_OG,0.27
PFV_PINTADOS_OG,0.27
PFV_PICA_2_OG,0.27
PFV_TamayaSolar,0.27
PFV_PALM_HUAYCA,0.27
PFV_Victor_Jara_OG,0.27
PMGD_PFV_PAlmonte110,0.27
PFV_Aurora_Solar_OG,0.27
PFV_Granja_Solar,0.27
PFV_Atacama_Solar_II,0.27
PFV_LCruz_Solar,0.27
PFV_Sol_del_Desierto_II,0.27
PFV_Huatacondo,0.27
PMGD_PFV_Calama220,0.27
PFV_NCHUQUI,0.27
PFV_Las_Salinas,0.27
PFV_Las_Salinas_Etapa2_OG,0.27
PFV_Las_Salinas_Etapa3_OG,0.27
PFV_Las_Salinas_Etapa4_OG,0.27
PFV_Las_Salinas_Etapa5_OG,0.27
PFV_Las_Salinas_Etapa6_OG,0.27
PFV_Socompa_OG,0.27
PFV_Lalackama_Parinas,0.27
PFV_ALMEYDA,0.27
PFV_MALGARIDA_I_II,0.27
PFV_Central_DDA_OG,0.27
PFV_Sol_de_Vallenar_OG,0.27
PFV_Tamarico_OG,0.27
PFV_Libertad_II_OG,0.27
PFV_LLANO_DE_LLAMPOS,0.27
PMGD_PFV_Cardones110,0.27
PFV_RIO_ESCONDIDO,0.27
PFV_VALLE_ESCONDIDO,0.27
PMGD_PFV_ElPenon110,0.27
PFV_Dona_Carmen,0.27
PFV_Peldehue_Solar_OG,0.27
PMGD_PFV_AMelipilla220,0.27
PFV_LAMPA,0.27
PMGD_PFV_Batuco110,0.27
PMGD_PFV_Chena110,0.27
PMGD_PFV_SJavier066,0.27
PMGD_PFV_Itahue154,0.27
PMGD_PFV_Linares154,0.27
PMGD_PFV_Malloa154,0.27
PMGD_PFV_Paine154,0.27
PMGD_PFV_Parral154,0.27
PMGD_PFV_Rancagua154,0.27
PMGD_PFV_Tinguiririca154,0.27
PMGD_PFV_Horcones066,0.27
PMGD_PFV_Mulchen220,0.27
PMGD_PFV_Duqueco220,0.27
PMGD_PFV_Temuco066,0.27
PFV_Gran_Teno_OG,0.27
PFV_Tamango_OG,0.27
PMG_Venezia_Solar_OG,0.27
PFV_Ortega_Negrete_OG,0.27
PMGD_PFV_PCortes154,0.27
PMGD_PFV_Chillan154,0.27
PMGD_PFV_Charrua066,0.27
PMGD_PFV_Teno154,0.27
PMGD_PFV_Talca066,0.27
PFV_Elena_Kimal_NEW,0.27
PMGD_PFV_Quillota110,0.27
PFV_QUILLOTA,0.27
