Name_PV,Active_ref,Reactive_ref,N_PV_inServ
PFV_Capricornio_new,0.617,-0.2281,57
PFV_Quilapilun,0.901818182,-0.013636364,66
PFV_Dona_Carmen,0.798095238,0,21
PFV_EL_PELICANO,0.617,-0.1464,66
PFV_LA_HUELLA,0.4,-0.255,26
PFV_EL_ROMERO,0.617,-0.3592,190
PFV_VALLE_ESCONDIDO,0.617,-0.2044,64
PFV_SAN_ANDRES,0.617,-0.1226,35
PFV_LLANO_DE_LLAMPOS,0.617,-0.3172,66
PFV_Pampa_Solar_Norte,0.617,-0.09,42
PFV_GUANCHOI,0.617,0.146,30
PFV_DIEGO_DE_ALMAGRO_SUR,0.617,0.0652,46
PFV_CAMPOS_DEL_SOL,0.617,-0.1219,245
PFV_LUZ_DEL_NORTE,0.617,0,172
PFV_CARRERA_PINTO,0.617,0,62
PFV_DAlmagro_Equiv,0.617,0.0017,215
PFV_Conejo,0.617,-0.1028,63
PFV_LALACKAMA_I_II,0.617,-0.2066,45
PFV_MALGARIDA_I_II,0.617,-0.071,142
PFV_ALMEYDA,0.617,-0.0694,1
PV_PAMPA_TIGRE,0.617,-0.1579,100
PFV_Domeyko,0.617,-0.159,120
PFV_Andes_Solar,0.617,-0.1068,40
PFV_UribeSolar,0.617,-0.1012,32
PFV_Bolero,0.617,-0.3676,94
PFV_VALLE_DEL_SOL,0.617,0.0442,95
PFV_Cerro_Dominador,0.617,0.031,66
PFV_TamayaSolar,0.617,-0.206,69
PFV_Finis_Terrae_I,0.617,-0.16,48
PFV_Finis_Terrae_II,0.617,-0.1406,48
PFV_Jama_I_II,0.617,0.0073,33
PFV_Usya_AzaBache,0.617,-0.109,69
PFV_LCruz_Solar,0.617,0.0131,32
PFV_Sol_del_Desierto_II,0.617,-0.108,72
PFV_Maria_Elena,0.617,-0.1469,41
PFV_San_Pedro,0.617,0.0107,70
PFV_Andes_Solar_IIA,0.617,-0.0901,21
PFV_Coya,0.617,-0.0561,116
PFV_Elena_Kimal,0.617,0,321
PFV_Las_Salinas,0.617,-0.0386,233
PFV_Pedro_de_Valdivia,0.617,-0.3637,66
PFV_Lalackama_Parinas,0.617,0,35
PFV_Nuevo_Futuro,0.617,-0.0867,75
PFV_Punta_del_Viento,0.617,-0.0116,106
PFV_Libelula_Gen,0.591397849,0,186
PFV_Meseta_de_los_Andes,0.656632653,0,98
PFV_COCHRANE,0.685106383,-0.409574468,94
PFV_KAPATUIR,0.28,-0.091304348,115
PFV_QUILLOTA,0.8,0.7,150
PFV_LAMPA,0.8,0.2,150
PFV_IEM_TEN,0.405833333,-0.0875,72
PFV_Granja_Solar,0.617,-0.0089,69
PFV_Huatacondo,0.617,-0.2899,59
PFV_Atacama_Solar_II,0.617,-0.2051,105
PFV_Nuevo_Quillahua,0.617,-0.0194,65
PFV_PALM_HUAYCA,0.617,0,30
PFV_Willka2,0.617,-0.2071,63
PFV_RIO_ESCONDIDO,0.87,0,21
PFV_Sol_del_Lila,0.610612245,0.315428571,98
PFV_STA_ISABEL,0.544090909,0.160363636,110
PFV_Sol_de_Varas,0.606153846,-0.283076923,65
PFV_iem_ten,0.685106383,-0.14893617,94
PFV_NCHUQUI,0.404166667,0,72
